"Category","Value"
"Number of mRNA genes",7608
"Number of tRNA genes",69
"Total number of coding genes",7677
"Percentage of genes with PFAM hit",48.0395988016152
"Percentage of genes with InterProScan hit",64.9081672528331
"Percentage of genes with EggNog hit",53.8231079848899
"Percentage of genes with COG hit",52.976423081933
"Percentage of genes with GO Term",46.7239807216361
"Average intron length",373.567496246417
"Average exon length",372.632846516691
"Average gene length",1453.18679171551
"Average tRNA length",74.9130434782609
"Average mRNA length",1465.68690851735
