"","EarlyInf.rA","EarlyInf.rB","LateInf.rA","LateInf.rB","MiddleInf.rA","MiddleInf.rB","Sporangia0.rA","Sporangia0.rB","Sporangia24.rA","Sporangia24.rB","Sporangia36.rA","Sporangia36.rB","Sporangia48.rA","Sporangia48.rB"
"HMI54_000199-T1",1.14963,0,0,0,0,0,1.20398,2.58322,0.73583,1.6816e-06,1.50621,0.597684,2.74541,2.67234
"HMI54_000201-T1",0,0.290211,1.87173,0.326967,0.251233,0.529288,3.41626,4.1524,5.53688,15.8983,11.8101,11.5038,7.94014,9.7874
"HMI54_000207-T1",0,0,0,0.542351,0,0.427937,2.34427,2.18958,2.23159,4.64243,3.24351,5.72162,3.90982,4.70826
"HMI54_000208-T1",1.026,0.618067,2.76569,1.81493,0.748814,1.03604,3.02672,2.6155,6.81847,11.063,12.6164,12.2249,10.1481,17.5306
"HMI54_000218-T1",8.57025,5.03011,7.04943,6.71922,8.07024,5.08629,32.378,37.6082,9.50599,17.7276,18.6862,16.905,16.7338,18.2304
"HMI54_000219-T1",92.8449,69.8182,99.8241,94.7054,74.1729,78.5769,205.584,232.976,164.613,270.566,167.93,181.489,190.21,224.148
"HMI54_000221-T1",6.5503,5.81508,9.04074,9.66254,6.77735,6.70442,38.0221,44.208,10.0969,16.6604,13.4812,12.7374,15.6007,15.0713
"HMI54_000228-T1",7.0041,12.3388,16.0668,17.2908,14.0444,12.4219,46.5031,61.2948,11.1273,30.8425,22.3157,19.8446,27.6618,24.9454
"HMI54_000229-T1",424.907,180.622,241.913,202.301,203.566,207.246,81.187,85.5199,143.025,142.141,130.312,124.668,132.773,103.744
"HMI54_000230-T1",9.61148,9.00296,7.1021,8.13637,8.72458,7.41076,32.6189,36.6514,12.325,20.2819,18.4221,16.3694,14.5406,24.0557
"HMI54_000231-T1",1.81342,1.24451,1.56312,2.09823,2.24769,1.40499,9.1968,10.3732,10.0398,8.9571,15.8631,13.5481,14.0229,18.1048
"HMI54_000232-T1",0,0,0,0,0,0,12.2828,0,2.24354,0,6.45753,2.96519,4.4668,4.81278
"HMI54_000233-T1",2.66107,6.00588,4.34933,8.63553,3.59457,4.70916,9.79738,8.44254,28.6008,42.6435,45.1228,43.3291,36.7234,56.3063
"HMI54_000234-T1",17.7696,14.9271,16.2651,15.4575,13.7105,10.6811,37.9043,39.3419,15.4845,19.9041,16.4106,18.3356,14.3268,16.8815
"HMI54_000245-T1",60.4358,48.4239,67.1233,49.7993,62.9136,55.0225,62.0581,54.739,58.6245,70.3434,94.0673,100.575,73.9976,80.2791
"HMI54_000247-T1",59.744,0,13.3791,0,0,0,165.548,199.575,140.517,97.9382,137.391,79.2092,55.9793,63.1558
"HMI54_000251-T1",478.565,288.665,347.21,408.338,352.701,371.58,713.096,920.267,573.4,645.1,607.805,624.81,402.275,644.943
"HMI54_000252-T1",2029.65,1790.74,1686.97,1652.18,1936.67,2057.19,899.198,832.513,1275.42,1258.28,2026.13,2307.83,1653.16,1990.54
"HMI54_000253-T1",11.072,8.95543,19.3307,12.9395,8.17243,9.78137,29.4314,27.4193,20.9318,24.3478,25.7873,24.3986,23.8637,26.8596
"HMI54_000266-T1",82.0287,50.9527,45.7293,41.4202,58.9025,64.5788,193.395,229.117,63.5552,57.5671,90.5004,94.5788,70.3983,75.6153
"HMI54_000275-T1",0,0,3.91613,2.76974,0.565515,0.149858,3.52465,2.72762,10.3573,18.3811,18.6495,16.4672,16.9535,19.724
"HMI54_000277-T1",18.5341,10.142,23.5817,17.9094,15.1586,10.7277,17.9081,19.5753,19.9562,39.0233,49.4436,51.3816,49.0669,87.4725
"HMI54_000280-T1",15.2816,11.9468,19.3745,17.0201,17.1121,14.5008,23.2962,17.682,33.1761,42.1648,43.8239,40.4807,34.9469,39.0066
"HMI54_000281-T1",16.3379,13.1252,17.0629,21.1142,19.1824,16.2406,22.7904,31.2872,25.9682,41.6246,50.0448,45.4922,37.5697,49.6974
"HMI54_000287-T1",51.1624,36.8489,54.3025,55.8376,47.3488,46.9529,291.494,336.221,81.6865,110.928,87.6739,92.088,92.2094,94.9493
"HMI54_000297-T1",0.547735,0,0.717901,0.36753,0.420172,0.37083,4.13786,4.23074,3.36935,5.01504,6.56765,5.85869,5.7619,9.87715
"HMI54_000299-T1",65.7434,43.3415,44.5306,42.4736,67.8525,68.3345,173.283,199.528,57.85,85.1742,100.763,91.7661,72.7992,104.994
"HMI54_000300-T1",61.5856,45.6708,44.2663,46.1219,59.1637,59.9804,227.019,265.468,48.5353,52.9774,65.1769,71.9081,57.2197,62.894
"HMI54_000301-T1",16.0723,11.2858,19.2332,17.8225,16.7694,14.2881,18.4465,20.0768,17.6857,23.3044,29.674,29.1087,27.1308,35.0947
"HMI54_000302-T1",61.3669,45.4204,44.9684,52.3887,54.6306,53.9657,7.62723,6.99602,15.5109,17.503,12.4162,12.7638,16.0235,23.6568
"HMI54_000308-T1",0,0,0,0.335039,0.255334,1.33887,0.788941,2.0285,0.957044,0,0.132676,0,0.624539,0
"HMI54_000309-T1",4.82984,9.46125,14.3616,11.5104,8.61119,10.9338,24.8358,22.4762,21.6815,20.4034,22.9985,29.4141,21.7858,21.2476
