"","EarlyInf.rA","EarlyInf.rB","LateInf.rA","LateInf.rB","MiddleInf.rA","MiddleInf.rB","Sporangia0.rA","Sporangia0.rB","Sporangia24.rA","Sporangia24.rB","Sporangia36.rA","Sporangia36.rB","Sporangia48.rA","Sporangia48.rB"
"HMI54_000536-T1",11,32,38,46,51,41,89,50,138,19,179,125,137,112
"HMI54_000537-T1",116,289,523,561,408,327,1323.94,750.118,1757.28,324,2107.74,1361.61,1781,1507
"HMI54_000550-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMI54_000552-T1",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HMI54_000553-T1",38,104,152,139,134,150,514,219,558,80,779,534,501,362
"HMI54_000556-T1",11,29,29,33,40,41,468,193,130,26,195,151,124,252
"HMI54_000571-T1",23,57,70,43,83,87,447,185,336,59,458,293,284,391
"HMI54_000572-T1",48,136,108,123,177,129,624,335,443,76.1846,672,470,352,495
"HMI54_000573-T1",15.1603,24,54,75,66.5089,55,169,81,251,53,470,317,367,808
"HMI54_000574-T1",46,190,111,125,283,227,344,181,410,50,536,422,374,521
"HMI54_000575-T1",52,174,216,212,184,192,682,350,833,154,1098,730,845,1083
"HMI54_000576-T1",14,37,44,31,70,58,66,44,49,7,74,62,57,69
"HMI54_000577-T1",4,12,29,37,34,21,144,73,220,46,336,212,282,339
"HMI54_000578-T1",2,11,15,13,11,2,61,34,166,34,199,113,114,115
"HMI54_000579-T1",1258,2667,2132,2124,3914,3728,3591,1743,5347,918,8657,6047,6651,7758
"HMI54_000580-T1",12,20,40,37,36,30,138,69,439,65,397,283,337,246
"HMI54_000581-T1",66,128,94,134,206,234,678,393,351,110,747,531,587,847
"HMI54_000582-T1",6,24,23,29,36,32,17,7,28,7,11,9,26,22
"HMI54_000583-T1",80,187,129,110,248,220,267,148,367,55,516,390,434,589
"HMI54_000585-T1",49,175,142,168,221,211,634,337,302,61,425,347,425,472
"HMI54_000586-T1",85,184,198,229,299,281,769,424,831,106,957,682,727,733
"HMI54_000588-T1",0,0,8,7,2,0,39,6,170,43,1538,1015,1416,1479
"HMI54_000600-T1",5,16,57,61,49,37,601,362,499,85,598,431,753,662
"HMI54_000601-T1",20,50,68,57,59,64,175,98,271,48,227,163,188,172
"HMI54_000602-T1",192.328,520.292,314.258,393.615,661.265,616.255,994.498,626.408,156.647,76.3492,425.809,356.929,393.892,426.592
"HMI54_000605-T1",188.173,353.584,454.504,415.033,512.176,463.938,1216.73,665.081,1338.1,243.519,1763.44,1272.6,1462.61,1943.67
"HMI54_000633-T1",0,1.97252,0,2.49351,2.80943,0,1.86343,1.71452,7.73147,0,2.30214,7.28897,1.67934,5.55619
"HMI54_000636-T1",16,42,58,45,57,56,230,108,170,19,216,166,162,185
"HMI54_000637-T1",7,52,70,93,62,54,450,246,339,81,662,450,494,643
"HMI54_000639-T1",16,23,16,33,25,31,198,97,159,43,3822,2688,9614,6835
"HMI54_000640-T1",15,17,45,36,38,16,47,27,65,6,103,75,91,123
"HMI54_000643-T1",49,132,121,128,163,145,816,365,306,77,371,272,307,257
"HMI54_000644-T1",230,561,615,744.942,712,788,650.999,270.62,956,151.22,1501,989,1279,1169.45
"HMI54_000650-T1",57,122,129,139,152,173,352,186,523,62,665,529,548,848
"HMI54_000651-T1",23,69,68,54,91,76,208,80,238,52,378,255,272,502
"HMI54_000653-T1",2,1,1,6,4,0,55,22.153,22,8,35,22,27,20
"HMI54_000654-T1",39,121,87,87,113,93,1174,577,503,70,699,438,377,387
"HMI54_000655-T1",39,77,95,94,111,133,468,250,339,48,483,375,413,525
"HMI54_000656-T1",42,141,87,88,207,145,604,283,170,24,220,176,143,167
"HMI54_000658-T1",4,1,6,13,8,11,41,17,44,8,44,26,51,63
"HMI54_000659-T1",6.35361,21.7461,27.0581,23.2932,35.2234,42.6773,242.563,156.442,319.653,49.1963,279.939,211.64,211.895,193.723
"HMI54_000660-T1",38,85,71,70,96,108,476,240,277,48,327,191,210,292
"HMI54_000663-T1",109,163,204,217.643,346.728,280.342,1218,677,403,92,656,423,743,699
"HMI54_000709-T1",130,323,201,233,426,380,1245,673,523,89,1032,711,544,746
"HMI54_000711-T1",4,12,15,17,12,22,104,40,381,65,972,673,675,954
"HMI54_000712-T1",0,1,0,6,1,1,5,3,0,0,2,2,4,5
"HMI54_000713-T1",4,0,0,3,3,0,16.1983,5,12,0,4,13,0,6
"HMI54_000714-T1",8,37,22,31,71,64,227,93,162,26,185,143,147,188
"HMI54_000715-T1",46,165,141,121,257,154,620,304,362,59,579,381,292,359
"HMI54_000716-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMI54_000717-T1",68,155,156,184,228,203,1202,595,370,77,563,388,426,532
"HMI54_000718-T1",81.2385,234.319,380.902,362.559,290.766,252.05,699.757,346.733,1748.1,227.208,891.072,552.26,843.543,564.092
"HMI54_000725-T1",105,271,303,347,372,374,2224,1217.06,674.487,139,954.009,758,850.009,886.104
"HMI54_000741-T1",507,1361,1280,1253,2049,1658,2287,1062,2148,448,3242,2204,2304,2407
"HMI54_000743-T1",0.000216431,5.35854,1.61812,0,68.0471,0.00208893,0.00982609,0.00978902,6.66274e-05,23.1089,0.00978906,0.0097871,6.93418,0.00974738
"HMI54_000749-T1",13,28,120,146,40,26,133,80,231,21,165,130,224,118
"HMI54_000750-T1",0,2.54359,0,0,0,0,6.22326,0,7.32982,0,0,1.56176,0,8.21497
"HMI54_000752-T1",12,51,69,59,40,79,238,138,245,44,372,247,268,477
"HMI54_000753-T1",65,180,216,193,258,230,330,173,458,70,598,460,550,617
"HMI54_000754-T1",9,33,23,27,26,33,99,47,224,29,344,254,300,313
"HMI54_000755-T1",108,258,278,296,322,312,652,317,818,139,981,678,808,1021
"HMI54_000756-T1",19,47,61,56,73,90,545,257,230,39,290,198,214,240
"HMI54_000757-T1",19,40,38,35,83,70,437,200,200,32,481,302,296,421
"HMI54_000758-T1",176,493,391,403,738,686,902,461,1223,226,1978,1546,1600,2805
"HMI54_000759-T1",29,97,148,109,149,100,559,274,758,122,1242,978,900,1420
"HMI54_000765-T1",0,4,0,0,1,0,38,8,5,0,14,18,8,2
"HMI54_000766-T1",35,97,120,117,151,155,369,180,395,58,546,343,467,718
"HMI54_000767-T1",96,312,217,238,382,418,426,201,809,143,1255,922,945,1565
"HMI54_000769-T1",110,296,372,348,416,446,1312,630,1001,186,1348,957,955,932
"HMI54_000771-T1",322,1066,725,596,1287,1177,344,115,585,59,598,406,458,347
"HMI54_000772-T1",48,195,119.31,154.699,203.562,231,1037.74,503.098,184,16,265.071,182.196,246,401.29
"HMI54_000773-T1",1,1,15,3,0,0,27,24,588,92,450,333,675,1297
"HMI54_000777-T1",53,50,39,17,443,340,106,45,75,11,71,41,29,64
"HMI54_000796-T1",0,0,0,0,0,0,3,0,44,4,91,55,61,54
"HMI54_000797-T1",0,0,1,0,0,0,3,1,45,11,226,122,121,102
"HMI54_000798-T1",10,5,12.5939,16.8642,14.9554,13.6983,49.5512,18.4788,83.6776,13.9567,76.4669,60.3568,83.1026,118.002
"HMI54_000800-T1",49,181,174,221,215,166,2340.04,1130.75,723,145,848.864,617,794,813.549
"HMI54_000801-T1",12,32,45,48,43,35,384,194,297,31,447,316,283,391
"HMI54_000807-T1",51,149,111,99,243,215,744.278,398,178.002,63,443.004,327,285.003,450
"HMI54_000820-T1",49.3499,115.256,92.3624,130.35,163.201,128.86,354.34,180.911,160.848,33.7215,320.589,226.415,278.522,335.996
"HMI54_000821-T1",19,93,125,101,113,114,288,120,309,41,363,268,273,300
"HMI54_000822-T1",178,377,292,308,491,482,223,121,275,47,342,225,295,346
"HMI54_000826-T1",29,80,120,112,109,86,522,244,636,92,644,469,547,772
"HMI54_000827-T1",144,367,180,190,499,503,516,269,429,75,794,669,513,988
"HMI54_000828-T1",53,187,189,204,206,195,884,409,1063,137,1288,854,855,846
"HMI54_000829-T1",751,1719,1445,1529,2661,2417,2556,1271,4795,768,8119,5776,5978,7342
"HMI54_000830-T1",3,7,7,10,12,18,85,33,106,11,88,61,86,81
"HMI54_000831-T1",0,1,2,0,1,1,11,5.48768,18,0,25,18,24,23
"HMI54_000832-T1",8,25,26,23,33,30,84,37,88,19,609,467,1273,883
"HMI54_000833-T1",2,13,9,10,8,2,41,6,202,21,265,164,202,315
"HMI54_000834-T1",26,50,58,65,113,114,378,170,320,59,401,272,356,475
"HMI54_000835-T1",7,20,89,76,52,34,202,108,638,61,688,546,501,584
"HMI54_000836-T1",0,0,1,9,2,1,60,35,12,3,774,546,2356,1509
"HMI54_000846-T1",48,135,125,125,133,172,1282,685,378,45,480,372,319,360
"HMI54_000853-T1",3,0,0,0,0,5,8.5427,3,13.7426,3,18.8902,9.79642,12.2666,4.5649
"HMI54_000855-T1",0,0,0,0,0,0,0,1,4,0,8.33859,11,1.43112,2.00868
"HMI54_000856-T1",0,0,1,0,0,1,2,0,0,0,0,0,1.62246,0
"HMI54_000857-T1",63,149.266,170,183.291,176,172.305,969,516,581,149,876,558,718,592
"HMI54_000858-T1",38,51,60,68,90,93,245,138,268,46,315,206,250,280
"HMI54_000871-T1",0,0,0,0,0,0,7,1,1,0,3,3,3,6
"HMI54_000872-T1",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HMI54_000875-T1",12,47,58,69,65,51,329,134,363,48,590,404,364,500
"HMI54_000878-T1",43,69,86,103,103,92,1562,746,393,72,388,285,306,270
"HMI54_000879-T1",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"HMI54_000888-T1",32,63,152,150,95,100,499,202,1174,183,1094,804,1048,748
"HMI54_000889-T1",0,9,13,6,19,18,14,6,8,0,117,137,16,20
"HMI54_000891-T1",4632,11455,8270,7523,16333,14542,23884,11749,18766,2788,40109,29596,21699,33811
"HMI54_000892-T1",150,337,331,370,510,385,521,222,524,113,953,639,689,768
"HMI54_000893-T1",6,18,15,16,23,29,42,10,37,9,72,58,66,43
"HMI54_000915-T1",13,71,217,267,90,105,4364,2031,1747,206,679,434,1057,513
"HMI54_000917-T1",33,68,100,100,107,113,232,100,374,52,565,399,412,580
"HMI54_000918-T1",5,2,3,2,5,9,35,16,199,41,548,378,310,304
"HMI54_000919-T1",22,49,52,45,63,74,62,16,207,45,298,223,211,257
"HMI54_000920-T1",48,169,175,201,180,199,480,250,510,85,779,543,563,588
"HMI54_000921-T1",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"HMI54_000922-T1",28,43,43,39,59,48,185,93,254,34,319,210,301,335
"HMI54_000924-T1",57,199,187.103,188.759,235,216.029,689.122,271.826,646.357,118.504,711.917,474.579,514.086,535.876
"HMI54_000925-T1",54,210,165,140,301,216,1015,453,437,95,684,468,527,575
"HMI54_000926-T1",5,14,8,4,8,19,5,4,2,0,6,3,7,7
"HMI54_000927-T1",0,10,3,2,3,3,4,1,12,0,1,7,13,7
"HMI54_000930-T1",70,178,160,192,281,256,1181,511,388,63,570,328,418,422
"HMI54_000931-T1",0,3,0,2,1,3,12,10,14,6,394,273,1193,749
"HMI54_000932-T1",203,492,448,442,777,634,3499,1859,1257,230,2363,1801,1677,2373
"HMI54_000933-T1",98,256,184,181,403,319,1769,812,473,84,743,478,587,597
"HMI54_000934-T1",26,126,107,129,126,148,550,223,358,54,371,263,314,252
"HMI54_000935-T1",8,24,22,33,30,26,217,110,153,22,161,108,138,122
"HMI54_000937-T1",88,161,140,179,274,218,142,55,252,90,458,338,511,669
"HMI54_000938-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMI54_000939-T1",26,64,132,137,111,85,1012,549,693,131,905,627,753,713
"HMI54_000940-T1",2,1,10,11,5,11,35,9,191,34,405,289,313,386
"HMI54_000949-T1",30,62,98,66,106,78,432,218,89,31,233,156,172,160
"HMI54_000951-T1",0,2,2,2,0,0,9.38921,9,10,1,60.562,30,40.5324,49.0635
"HMI54_000952-T1",38,102,104,108,103,119,427,216,465,92,611,470,486,548
"HMI54_000955-T1",78,199,251,328,256,213,1205,601,885,173,1426,1000,1264,1124
"HMI54_000959-T1",1015,2006,1654,1673,2893,2769,2925,1648,5425,820,7096,4936,5194,5926
"HMI54_000961-T1",125,263,246,312,338,294,1152,576,521,152,1295,875,1046,1581
"HMI54_000963-T1",28,42,25,37,67,52,223,142,119,18,142,107,117,201
"HMI54_000972-T1",4,14,17,20,7,21,119,60,136,13,119,110,136,136
"HMI54_000979-T1",56,131,139,113,187,155,831,439,288,57,529,396,367,496
"HMI54_000980-T1",5187,14088,15422,19340,18772,15840,8,13,11,3,5,10,6,5
"HMI54_000981-T1",2,70,99,123,102,103,0,0,0,0,0,0,0,0
"HMI54_000984-T1",100,280,197,186,433,368,405,174,681,81,1187,826,814,1192
"HMI54_000985-T1",0,2.64445,8,6,20.8249,11,28.1999,13.7259,30.0517,9,30.6395,19.3451,26.3379,24.1894
"HMI54_000987-T1",440.852,943.239,703.522,877.863,1254.69,1320.68,2197.83,1318.32,1969.61,423.441,3249.72,2431.27,2404.14,4256.54
"HMI54_000988-T1",23,61,103,110,58,61,344,199,741,144,623,465,543,614
"HMI54_000989-T1",2,3,44,22,20,20,84,34,156,29,96,56,100,117
"HMI54_000996-T1",70,164,128,228,225,233,644,310,438,99,752,497,666,873
"HMI54_000998-T1",8,29,77,80,59,22,140,69,263,26,226,132,197,190
"HMI54_001008-T1",69,167.574,209.614,208.562,242.668,224.111,1865.23,935.211,542.348,72.4862,615.117,420.077,486.219,562.212
"HMI54_001010-T1",52,136,161,183,168,147,319,159,640,81,636,445,596,481
"HMI54_001011-T1",6,14,20,12,5,9,289,129,495,73,219,235,320,932
"HMI54_001012-T1",0,0,0,0,2,0,6.73048,1.59676,4.98615,0,1.24923,0,1.0642,2.44676
"HMI54_001014-T1",95,237,241,261,327,351,567,320,781,129,999,728,799,1019
"HMI54_001015-T1",42,71,57,72,87,71,146,112,138,34,280,196,193,277
"HMI54_001023-T1",38,86,92,93,106,111,595,285,384,85,469,352,411,362
"HMI54_001024-T1",33,77,107,112,142,124,449,231,642,108,814,569,545,887
"HMI54_001025-T1",60.312,190.118,135,174,259,224,408.043,242.191,469.012,81,797.015,570,520.389,510
"HMI54_001028-T1",55,115,64,53,229,172,12,1,2,0,16,13,9,13
"HMI54_001029-T1",14.8664,58.8787,29.4717,56.5742,73.4125,50.1518,83.0803,36.881,70.3713,4.36367,112.366,94.8589,90.077,138.723
"HMI54_001030-T1",115,291,217,249,303,329,1057,610,605,140,939,638,708,732
"HMI54_001031-T1",29,106,42,56,116,82,147,64,123,21,162,99,119,178
"HMI54_001039-T1",0,0,0,0,0,0,5,3,4,0,11,8,8,2
"HMI54_001049-T1",26,165,579.997,574,133,171,9789.93,4555.98,2704.99,331,2700.98,1699.99,2085.97,1505.99
"HMI54_001050-T1",36,99,118,124,138,153,90,49,339,51,399,305,323,379
"HMI54_001060-T1",0,6,7,1,3,5,38,8,226,41,372,238,236,321
"HMI54_001061-T1",7,18,64,45,34,29,149,58,139,24,153,106,201,147
"HMI54_001062-T1",111,461,371,407,510,517,2378,1326,1052,215,1182,831,1076,886
"HMI54_001064-T1",296,588,518,579,827,753,1347,636,492,106,706,514,632,859
"HMI54_001066-T1",73,216,228,263,282,302,1266,622,701,60,1005,729,593,761
"HMI54_001076-T1",43.6907,146.215,90.5189,113.02,207.31,137.159,139.372,73.38,173.73,40.3421,366.998,271.742,253.26,255.092
"HMI54_001077-T1",32,98,71.6475,86,121.194,133.569,164.01,113,258,32,297.998,211,231.204,237.909
"HMI54_001078-T1",71,163,246,209,248,227,597,281,684,81,884,644,602,715
"HMI54_001079-T1",18.4054,92.1056,57.2091,78.0175,112.894,94.8488,218.276,68.7902,204.591,37.5546,312.598,231.335,261.594,411.849
"HMI54_001082-T1",77,176,212,251,275,255,599,299,752,142,1229,830,918,1269
"HMI54_001083-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMI54_001090-T1",21,48,37,19,38,31,30,12,137,31,168,162,162,237
"HMI54_001092-T1",130,214,228,276,290,325,668,346,832,162,1326,975,1133,1421
"HMI54_001093-T1",45,135,137,140,165,159,467,196,285,41,404,322,258,338
"HMI54_001095-T1",47,110,116,109,194,151,680,299,415,58,667,473,445,791
"HMI54_001096-T1",60,116,122,134,169,185,449,286,460,88,546,460,479,517
"HMI54_001097-T1",60,112,102,113,149,145,839,463,470,98,464,302,344,414
"HMI54_001105-T1",150,409,403,471,554,510,1025,627,1151,250,1556,1125,1078,1751
"HMI54_001106-T1",6,4,7,9,22,43,76,37,69,10,245,217,727,497
"HMI54_001176-T1",0,0,30,18,4,5,217,104,359,72,552,456,527,1121
"HMI54_001177-T1",77,267,218,265,310,272,1439,710,1265,242,1753,1306,1371,1412
"HMI54_001189-T1",0,12,21.8927,17,21.1035,8,48,34,177.019,40.3062,186.749,119.565,178.597,187.822
"HMI54_001190-T1",5,22,40,51,33,26,262,130,563,102,733,496,601,949
"HMI54_001191-T1",113,243.582,199,154,319,321,379,180,229,25,244,197,240,412
"HMI54_001201-T1",1,0,0,4,3,2,7,1,1,1,0,1,1,1
