"","EarlyInf.rA","EarlyInf.rB","LateInf.rA","LateInf.rB","MiddleInf.rA","MiddleInf.rB","Sporangia0.rA","Sporangia0.rB","Sporangia24.rA","Sporangia24.rB","Sporangia36.rA","Sporangia36.rB","Sporangia48.rA","Sporangia48.rB"
"HMI54_000199-T1",1,0,0,0,0,0,6.32116,6.43154,4.54488,1.43962e-06,9.59912,2.64409,14.5693,13.8351
"HMI54_000201-T1",0,1,5,1,1,2,21,12,40,16,88,61,49,59
"HMI54_000207-T1",0,0,0,1,0,1,9,4,10,3,15,18,15,18
"HMI54_000208-T1",7,14,51,37,20,26,126,50,328,71,627,441,430,696
"HMI54_000218-T1",37,73,80,86,136,81,849,457,291,72,586,385,437,462
"HMI54_000219-T1",77,189,206,223,237,237,983,530,919,216,977,724,910,1068
"HMI54_000221-T1",67,198,248,294,271,253,2364,1265,726,159,1001,690,983,898
"HMI54_000228-T1",30.0617,179.797,182.867,223.432,237.809,198.241,1208.51,737.745,337.134,122.396,691.861,448.247,713.995,623.951
"HMI54_000229-T1",109.88,128.362,143.887,130.948,187.791,180.872,124,64,254,41,244,157,204,163.607
"HMI54_000230-T1",24,75,47,60.038,85,68,486.075,252.314,213.169,47,327.667,210,218.844,342.281
"HMI54_000231-T1",7,16,16,24,34,20,213,111,270,32,439,272,328,404
"HMI54_000232-T1",0,0,0,0,0,0,5,0,1,0,3,1,2,2
"HMI54_000233-T1",4,30,17,38,21,26,89,36,302,62,493,338,335,501
"HMI54_000234-T1",25,69,60,64,75,55,324,156,155,27,167,133,122,140
"HMI54_000245-T1",64,163,179,150,249,206,389,161,424,71,708,535,472,494
"HMI54_000247-T1",2,0,1,0,0,0,25,15,26,2,26,11,9,10
"HMI54_000251-T1",29,59,76,89,96,93,267,155,228,44,250,192,165,240
"HMI54_000252-T1",774,2098,1434,1556,2776,2736,2033,913,3338,510,5551,4112,3687,4602
"HMI54_000253-T1",28,74,131,97,80,90,454,195,374,59,472,321,374,395
"HMI54_000266-T1",122,246,176,179,335,348,1729,952,656,81,972,720,632,657
"HMI54_000275-T1",0,0,19,15,4,1,39,14,134,32,247,157,191,210
"HMI54_000277-T1",23,41.132,75.0838,64.0175,72.5761,48.3271,134.167,68.4481,173.91,46.7568,445.436,328.316,371.949,640.408
"HMI54_000280-T1",49,124,164,160,212,169,451,158,742,127,1013,674,689,724
"HMI54_000281-T1",14,36,37,52,63,50,118,75,158,36,313,200,196,250
"HMI54_000287-T1",104,251,284,334,373,350,3592,1934,1173,215,1293,975,1121,1144
"HMI54_000297-T1",2,0,7,4,6,5,91,43,86,17,173,112,128,209
"HMI54_000299-T1",106,234,187,201,427,406,1653,889,643,129,1151,749,694,976
"HMI54_000300-T1",176,438,334,393,664,632.044,3959,2144,983,142,1357,1085,989,1063
"HMI54_000301-T1",48,110,153,157,193,156,337,169,373,66,641,455,502,610
"HMI54_000302-T1",53,126,100,131,183,169,40,17,95,15,78,56,86,120
"HMI54_000308-T1",0,0,0,1,1,5,5,6,7,0,1,0,4,0
"HMI54_000309-T1",8,51,63,56,55,66,251,105,253,33,278,256,225,207
"HMI54_000310-T1",3,2,3,4,4,2,42,21,5,0,7,0,2,2
"HMI54_000311-T1",7,26,60,48,54,52,143,55,397,67,422,263,319,295
"HMI54_000312-T1",3,5.4257,0,9,0,2,6,0,16.4075,1,12.6351,6,22,7.31991
"HMI54_000313-T1",2,2,1,2,3,3,19,4,9,0,7,11,13,1
"HMI54_000314-T1",48,64,65,72,121,97,148,69,161,25,203,132,134,210
"HMI54_000315-T1",64,132.457,147.799,158,217.498,148,642.05,328.726,457.243,92.1409,546.083,432,506.093,425.167
"HMI54_000317-T1",1031,2415,1835,1772,3565,3169,2977,1570,5032,793,8340,5830,5959,7922
"HMI54_000318-T1",31,43,85,52,109,96,307,177,295,67,336,211,191,353
"HMI54_000321-T1",28,56,37,62,52,55,141,72,129,30,152,130,151,249
"HMI54_000322-T1",32,113,92,110,150,128,226,129,317,37,400,279,369,378
"HMI54_000323-T1",0,0,3,6,3,9,48,35,95,7,226,136,126,124
"HMI54_000329-T1",16,19,13,25,28,20,102,61,28,9,63,35,49,59
"HMI54_000330-T1",0,0,0.00081892,0,0,0,0,0,0,0,0,0,0,0
"HMI54_000331-T1",92,276,241,275,333,349,2348,1508,979,173,1364,896,1039,1020
"HMI54_000338-T1",150,468,250,245,663,547,36,16,33,2,31,20,44,26
"HMI54_000339-T1",8.53402,13,17,30.643,23.1516,34.2568,46.7167,28.935,91.334,18.7735,114.61,79.1862,77.9491,111.97
"HMI54_000340-T1",6,12,9,12,29,20,120,58.8703,278,37,225,155,234,318
"HMI54_000341-T1",0,0,4.16138,5.86899,5.56432,2.16919,15.4206,6.79938,48.1223,8.73765,58.5181,33.9295,54.8399,89.0403
"HMI54_000351-T1",115,221,118,191,377,320,1978,1024,289,62,541,372,367,570
"HMI54_000353-T1",108,322,218,243,381,372,764,385,489,71,881,688,541,723
"HMI54_000354-T1",0,0,0,2,3,0,6,1,0,0,7,4,5,2
"HMI54_000355-T1",103,254,261,286,302,286,595,293,551,183,1248,781,721,693
"HMI54_000356-T1",0,11,9,15,13,3,142,53,369,65,625,446,525,1046
"HMI54_000357-T1",63,196,153,206,246,216,1586,750,463,93,957,648,691,823
"HMI54_000358-T1",40,76,93,114,108,103,1137,537,390,40,456,313,365,290
"HMI54_000378-T1",60.2937,67,106.72,125.449,125.989,90.6138,253.755,143.581,355.341,57,502.809,361.274,412.459,430.725
"HMI54_000379-T1",33,118,142,184,129,128,570,264,785,110,754,540,687,469
"HMI54_000380-T1",35,129,94,94,150,139,202,98,130,13,257,178,180,171
"HMI54_000381-T1",28.9134,77.9141,41.8239,35.14,79.0631,77.5258,9.09453,12.6488,469.573,56.4513,793.113,525.95,482.855,524.049
"HMI54_000382-T1",22,53,67,73,79,78,181,105,194,28,250,134,166,169
"HMI54_000384-T1",17.6607,54.3998,62.3954,35.1488,74.9924,88.0297,98.7867,55.9789,278.585,27.5959,238.247,147.976,200.584,174.969
"HMI54_000385-T1",0,2,4,1,2,0,20,6,93,16,147,98,79,125
"HMI54_000386-T1",15,43,65,86,67,61,240,129,351,42,501,402,313,589
"HMI54_000388-T1",209,488,498,507,638,575,1355,727,1307,299,1848,1473,1652,2477
"HMI54_000390-T1",28,53,61,74,72,70,244,133,411,44,532,340,354,426
"HMI54_000392-T1",29,77,71,55,93,74,121,53,206,31,295,209,195,224
"HMI54_000393-T1",223,519,507,586,644,570,1711,859,1331,224,1820,1341,1466,1644
"HMI54_000402-T1",0,3.77259e-08,48.7246,32,11.5466,9.81308,359.54,153.456,462.213,85.1737,634.734,493.989,572.731,1107.43
"HMI54_000403-T1",34,79,119,88,123,172,630,286,402,64,644,502,463,739
"HMI54_000410-T1",70,146,95,159,232,193,0,0,0,0,2,2,2,1
"HMI54_000411-T1",496,1240,1049,1327,1748,1735,0,3,2,1,3,2,1,2
"HMI54_000433-T1",5,12,26,27,19,40,61,36,100,14,94,65,81,116
"HMI54_000434-T1",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HMI54_000436-T1",108,229,234,214,296,315,721,359,1052,201,1917,1433,1340,2003
"HMI54_000437-T1",0,0,2.99982,9,0.990411,1.99809,5,2.74032,8.67602,7,462.656,301.567,1438.83,967.751
"HMI54_000440-T1",20.5824,75.1281,57.062,56.2561,50.8972,55.9864,235.184,135.859,157.743,41.9443,310.666,197.286,199.811,228.003
"HMI54_000441-T1",3,11,13,20,17,12,52,21,40,24,103,68,78,71
"HMI54_000443-T1",18.1419,71.6106,49.5513,36.5942,83.1612,75.9221,560.595,279.653,123.962,12.4101,183.589,160.028,144.814,183.604
"HMI54_000445-T1",0,2,14,14,1,1,5,3,36,2,29,19,24,25
"HMI54_000447-T1",46,80,87,96,130,124,407,250,343,58,564,386,448,596
"HMI54_000448-T1",122,286,232,187,472,388,589,338,447,104,969,721,568,805
"HMI54_000454-T1",0,0,1,0,0,0,0,1,0,0,0,0,1,0
"HMI54_000455-T1",7,52,46,50,58,55,170,61,279,31,238,172,276,225
"HMI54_000456-T1",13,59,51,43,72,62,141,73,285,38,520,314,354,404
"HMI54_000457-T1",12,33,68,66,58,95,364,202.307,201,55,227,148,153,161
"HMI54_000458-T1",96,347,423,347,441,422,1561,763,1572,226,2132,1444,1443,2115
"HMI54_000459-T1",53,136,128,123,188,144,265,116,465,82,531,422,453,666
"HMI54_000461-T1",6,7.44564,20.5864,16.1356,13,12.5036,93.2439,47.8779,351.625,46.133,437.411,294.669,349.262,523.887
"HMI54_000463-T1",35.2015,129.143,151.632,157.243,147.467,112.649,1356.43,612.181,609.707,88.4783,745.161,536.814,738.227,590.289
"HMI54_000464-T1",56,93,88,72,115,131,603,318,246,41,299,190,237,276
"HMI54_000465-T1",33,69,120,144,122,94,888,480,389,116,806,577,575,831
"HMI54_000466-T1",54,134,79,106,189,179,1098,574,354,76,572,415,416,523
"HMI54_000467-T1",11,27,44,33,48,27,296,167,146,16,206,146,168,144
"HMI54_000468-T1",0,2,0,2,2,3,19,12,14,3,4,8,7,3
"HMI54_000469-T1",218,529,521,626,643,636.527,1645.67,1001,1606,342,2270,1633,1810,1761
"HMI54_000470-T1",7,23,15,22,18,12,34,29,105,9,247,157,107,120
"HMI54_000471-T1",36,130,130.64,144.303,180.211,148.443,418.527,184.917,574.853,96.9999,957.604,651.853,718.578,751.447
"HMI54_000472-T1",1,3,5,10,8,5,24,6,55,7,50,47,39,42
"HMI54_000473-T1",43,155,177,197,195,191,3235,1725,816,127,756,561,707,627
"HMI54_000474-T1",106,203,184,241,308,275.168,1504,799,595,113,923,614,634,816
"HMI54_000485-T1",45,103,79,126,162,165,545,236,146,45,237,163,209,287
"HMI54_000486-T1",0,2,2,0,0,1,30,19,310.2,58,1034.44,691.471,560.089,498.812
"HMI54_000487-T1",48,325,1012,1149,227,315,1438,684,6915,1165,3900,2590,3950,2020
"HMI54_000497-T1",5.19605,8.73912,1.08272e-07,0,1.45936e-07,15.8331,39.7233,0,20.7711,0,28.8051,2.8189,12.912,32.2041
"HMI54_000498-T1",286.7,629,637.921,697.076,990.558,865.535,1489.97,773.338,1394.57,295.795,2464.21,1816.76,1955.55,2672.95
"HMI54_000504-T1",44.7027,153.296,146.723,144.974,221.536,187.532,807.62,340.958,351.706,39,501.586,333.828,374.467,589.441
"HMI54_000505-T1",3,7,4,3,3,7,65,34,29,2,47,30,34,39
"HMI54_000506-T1",6,20,35,40,20,40,275,114,216,24,201,149,184,151
"HMI54_000514-T1",80,227,198,177,275,283,661,432,586,75,835,611,610,915
"HMI54_000515-T1",47,125,118,153,133,166,672,344,533,56,668,484,440,559
