baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMI54_000199-T1	2.40553719620551	2.99715343806895	1.03030055985662	2.90900884154236	0.00362576605775166	0.00995913277265346
HMI54_000201-T1	15.4460806780857	3.10223737128189	0.611669822096138	5.07175155486794	3.94170777609366e-07	2.4245108043503e-06
HMI54_000207-T1	3.72419795406214	3.09500298298852	0.921208784759974	3.35971935373471	0.000780216859085255	0.00252358719551824
HMI54_000208-T1	122.451812757863	2.04978766576728	0.427290468576521	4.79717619865466	1.60918042140486e-06	8.86422252610047e-06
HMI54_000231-T1	90.5557608651541	2.04641078937682	0.229131187047323	8.93117526141986	4.21506720604657e-19	1.13385307842653e-17
HMI54_000247-T1	5.93534644549636	3.4441823974495	0.912084859392681	3.77616442371693	0.000159261879709629	0.000599181057928534
HMI54_000275-T1	43.7368078731018	2.68700858845329	0.705882978932313	3.80659212454385	0.000140894824302889	0.000536077902934613
HMI54_000297-T1	34.8754697865621	3.03786034822568	0.389164240808978	7.80611379378204	5.89783333553923e-15	1.18692057401001e-13
HMI54_000302-T1	114.879947421185	-2.7038952682631	0.255832147480215	-10.5690207227464	4.14803286550283e-26	1.57157864904262e-24
HMI54_000323-T1	30.1453491012134	3.06817716219822	0.526953063387643	5.82248662238286	5.79784419584661e-09	5.00412862678953e-08
HMI54_000338-T1	293.699530195135	-5.58808443681926	0.258327671974618	-21.6317686529855	9.02557332234552e-104	1.42816424924173e-101
HMI54_000341-T1	14.4662649492346	2.25465686472633	0.587722408755368	3.83626152608519	0.000124921380683253	0.00047982653122982
HMI54_000356-T1	124.699677722111	3.91615068430597	0.512092765847029	7.6473462338966	2.05169357430553e-14	3.88665895414217e-13
HMI54_000385-T1	22.0971577828505	3.79643051244492	0.713544572363255	5.32052328542163	1.03469204021798e-07	7.09427762494401e-07
HMI54_000402-T1	156.146449849985	3.18281182444191	0.605580716595587	5.2558011462697	1.47381470622623e-07	9.81069902186094e-07
HMI54_000410-T1	119.461300746383	-9.18976968544728	0.577944041206542	-15.9007949390088	6.25657692906775e-57	4.85486305938238e-55
HMI54_000411-T1	991.351191421138	-11.2640625709553	0.414987771688258	-27.1431192421182	3.05279113331945e-162	9.47539401764922e-160
HMI54_000437-T1	103.35780921869	5.48205782248156	1.26018643532414	4.35019586690877	1.36015984086609e-05	6.29746983120444e-05
HMI54_000461-T1	88.7557398880605	2.63173495709769	0.409235212988855	6.43086145465532	1.26882772742334e-10	1.4627771086152e-09
HMI54_000486-T1	112.068687939742	7.0299888695921	0.908347900622788	7.73931316929577	9.99553004588018e-15	1.97222316553186e-13
HMI54_000582-T1	23.5636365833943	-2.25676967675949	0.327131287463962	-6.89866656978847	5.24929156586465e-12	7.43189174325047e-11
HMI54_000588-T1	189.873675187555	6.14032896042439	1.11196408219742	5.52205692497737	3.35053893232429e-08	2.52228070744935e-07
HMI54_000639-T1	788.598364826446	4.90038394768947	0.871684106080173	5.62174291524681	1.890404438566e-08	1.49564351168898e-07
HMI54_000711-T1	145.833094969542	3.35537979824022	0.490612473236056	6.83916529090321	7.96559359923162e-12	1.09138099059082e-10
HMI54_000771-T1	775.955090791816	-3.07867828440697	0.231759664796004	-13.2839262048331	2.86945213532229e-40	1.72809542776499e-38
HMI54_000773-T1	131.021187345857	5.17366570395113	0.984204666682827	5.25669698497621	1.46665668790761e-07	9.78175162926814e-07
HMI54_000777-T1	124.08785568828	-3.01264375199118	0.538214565421	-5.59747718762431	2.174934601506e-08	1.69910186197032e-07
