"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006412",0.000491305132621167,1.67907625935795,96.8117744610282,119,190,"translation"
"2","GO:0043043",0.0010062865063794,1.61333333333333,99.8689883913764,121,196,"peptide biosynthetic process"
"3","GO:0006518",0.00126209034872234,1.58227848101266,103.945273631841,125,204,"peptide metabolic process"
"4","GO:0043604",0.00148471949284533,1.5754972875226,102.416666666667,123,201,"amide biosynthetic process"
"5","GO:0010467",0.00285861589692936,1.30834634738851,295.530679933665,325,580,"gene expression"
"6","GO:0043603",0.00315573581366818,1.50177913127104,108.531094527363,128,213,"cellular amide metabolic process"
"7","GO:0044271",0.00818968009793472,1.28596673596674,243.048507462687,267,477,"cellular nitrogen compound biosynthetic process"
"8","GO:0044267",0.0221029325779457,1.21825136612022,292.473466003317,314,574,"cellular protein metabolic process"
"9","GO:0048878",0.0221805286743956,7.74447174447174,4.58582089552239,8,9,"chemical homeostasis"
"10","GO:0006383",0.0221805286743956,7.74447174447174,4.58582089552239,8,9,"transcription by RNA polymerase III"
"11","GO:0042254",0.0241011262480244,1.84146908414691,26.4958540630182,34,52,"ribosome biogenesis"
"12","GO:0016482",0.0372697220585116,4.35614754098361,5.60489220563847,9,11,"cytosolic transport"
"13","GO:0051172",0.039289163553637,6.7708674304419,4.07628524046434,7,8,"negative regulation of nitrogen compound metabolic process"
"14","GO:0016226",0.039289163553637,6.7708674304419,4.07628524046434,7,8,"iron-sulfur cluster assembly"
"15","GO:0031163",0.039289163553637,6.7708674304419,4.07628524046434,7,8,"metallo-sulfur cluster assembly"
"16","GO:0043038",0.0407304173989958,1.94356846473029,18.3432835820896,24,36,"amino acid activation"
"17","GO:0043039",0.0407304173989958,1.94356846473029,18.3432835820896,24,36,"tRNA aminoacylation"
"18","GO:0006468",0.0424190465675427,1.34777300830938,81.0161691542289,92,159,"protein phosphorylation"
"19","GO:0022613",0.0426360717806305,1.59858585858586,33.6293532338308,41,66,"ribonucleoprotein complex biogenesis"
