,GOCCID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
1,GO:0008541,0.018764659890539,Inf,0.0187646598905395,1,1,"proteasome regulatory particle, lid subcomplex"
2,GO:0000781,0.018764659890539,Inf,0.0187646598905395,1,1,"chromosome, telomeric region"
3,GO:0005760,0.0371916146343788,54.5217391304348,0.037529319781079,1,2,gamma DNA polymerase complex
4,GO:0045334,0.0371916146343788,54.5217391304348,0.037529319781079,1,2,clathrin-coated endocytic vesicle
5,GO:0030139,0.0371916146343788,54.5217391304348,0.037529319781079,1,2,endocytic vesicle
